movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,studio,domestic_gross,year
tt2176013,Jab Tak Hai Jaan,Jab Tak Hai Jaan,2012,176.0,"Drama,Romance",6.8,48364,Yash,3000000.0,2012
tt2176786,For a Woman,Pour une femme,2013,110.0,Drama,6.5,648,FM,32299.0,2014
tt2177511,Caesar Must Die,Cesare deve morire,2012,77.0,Drama,7.3,5691,AF,76900.0,2013
tt2177771,The Monuments Men,The Monuments Men,2014,118.0,"Comedy,Drama,History",6.1,117638,Sony,78000000.0,2014
tt2178470,Yeh Jawaani Hai Deewani,Yeh Jawaani Hai Deewani,2013,160.0,"Comedy,Drama,Musical",7.1,33971,Eros,3800000.0,2013
tt2178508,Son of Sardaar,Son of Sardaar,2012,141.0,"Action,Comedy",4.0,8109,Eros,772000.0,2012
tt2178941,Barbara,Barbara,2012,105.0,Drama,7.2,11292,AF,1000000.0,2012
tt6411984,Barbara,Barbara,2017,98.0,"Biography,Drama,Music",6.1,829,AF,1000000.0,2012
tt2179116,The Kings of Summer,The Kings of Summer,2013,95.0,"Adventure,Comedy,Drama",7.2,73230,CBS,1300000.0,2013
tt2179136,American Sniper,American Sniper,2014,133.0,"Action,Biography,Drama",7.3,401915,WB,350100000.0,2014
tt2180411,Into the Woods,Into the Woods,2014,125.0,"Adventure,Comedy,Drama",6.0,123577,BV,128000000.0,2014
tt2191715,Into the Woods,Into the Woods,2011,MISSING,"Comedy,Musical",7.8,33,BV,128000000.0,2014
tt2201083,Into the Woods,Into the Woods,2012,MISSING,Thriller,2.6,167,BV,128000000.0,2014
tt2181931,English Vinglish,English Vinglish,2012,134.0,"Comedy,Drama,Family",7.9,30323,Eros,1900000.0,2012
tt2181948,Red,Red,2014,MISSING,Thriller,5.8,9,Sum.,90400000.0,2010
tt4170206,Red,Red,2014,107.0,Drama,8.4,8,Sum.,90400000.0,2010
tt8851190,Red,Red,2018,90.0,Drama,8.1,26,Sum.,90400000.0,2010
tt2182972,Song One,Song One,2014,86.0,"Drama,Music",5.8,8559,TFA,32299.0,2015
tt2183034,Earth to Echo,Earth to Echo,2014,91.0,"Adventure,Family,Sci-Fi",5.8,17627,Rela.,38900000.0,2014
tt2184339,The Purge,The Purge,2013,85.0,"Horror,Thriller",5.7,183549,Uni.,64500000.0,2013
tt2186933,Luv Shuv Tey Chicken Khurana,Luv Shuv Tey Chicken Khurana,2012,140.0,Comedy,6.6,3335,UTV,144000.0,2012
tt2187115,Child's Pose,Pozitia copilului,2013,112.0,Drama,7.4,7214,Zeit.,97200.0,2014
tt2187972,Shirin Farhad Ki Toh Nikal Padi,Shirin Farhad Ki Toh Nikal Padi,2012,111.0,Romance,4.3,977,Eros,156000.0,2012
tt2190492,The House That Jack Built,The House That Jack Built,2013,90.0,"Drama,Family",6.7,100,IFC,88000.0,2018
tt4003440,The House That Jack Built,The House That Jack Built,2018,152.0,"Crime,Drama,Horror",6.9,35669,IFC,88000.0,2018
tt2191701,Grown Ups 2,Grown Ups 2,2013,101.0,Comedy,5.4,128500,Sony,133699999.0,2013
tt2191721,Jodi Breakers,Jodi Breakers,2012,127.0,"Comedy,Musical,Romance",3.5,1051,Yash,52600.0,2012
tt2192016,The Dark Horse,The Dark Horse,2014,124.0,"Biography,Drama",7.5,5250,BG,67500.0,2016
tt2193215,The Counselor,The Counselor,2013,117.0,"Crime,Drama,Thriller",5.3,92096,Fox,17000000.0,2013
tt2194499,About Time,About Time,2013,123.0,"Comedy,Drama,Fantasy",7.8,263136,Uni.,15300000.0,2013
tt2199571,Run All Night,Run All Night,2015,114.0,"Action,Drama,Thriller",6.6,94131,WB,26500000.0,2015
tt2201884,The Workshop,The Workshop,2012,77.0,"Documentary,Family",8.0,5,Strand,22100.0,2018
tt6444838,The Workshop,L'atelier,2017,113.0,"Drama,Mystery,Thriller",6.6,1379,Strand,22100.0,2018
tt2202408,Transcendence,Transcendence,2012,98.0,Drama,6.1,22,WB,23000000.0,2014
tt2209764,Transcendence,Transcendence,2014,119.0,"Action,Drama,Sci-Fi",6.3,204481,WB,23000000.0,2014
tt2203939,The Other Woman,The Other Woman,2014,109.0,"Comedy,Romance",6.0,122889,IFC,25400.0,2011
tt2205401,Addicted,Addicted,2014,106.0,"Drama,Thriller",5.2,7640,LGF,17400000.0,2014
tt2205904,Generation Iron,Generation Iron,2013,106.0,"Documentary,Drama,Sport",7.1,7128,TVC,850000.0,2013
tt2209418,Before Midnight,Before Midnight,2013,109.0,"Drama,Romance",7.9,123107,SPC,8100000.0,2013
tt2215077,Half of a Yellow Sun,Half of a Yellow Sun,2013,111.0,"Drama,Romance",6.1,1595,Mont.,54500.0,2014
tt2215221,The Nun,La religieuse,2013,112.0,Drama,6.5,1401,WB (NL),117500000.0,2018
tt5814060,The Nun,The Nun,2018,96.0,"Horror,Mystery,Thriller",5.4,89254,WB (NL),117500000.0,2018
tt2215395,Paulette,Paulette,2012,87.0,"Comedy,Crime",6.6,6279,Cohen,29500.0,2015
tt2215719,Katy Perry: Part of Me,Katy Perry: Part of Me,2012,93.0,"Documentary,Music",5.9,13034,Par.,25300000.0,2012
tt2216240,A Hijacking,Kapringen,2012,103.0,"Drama,Thriller",7.2,14771,Magn.,414000.0,2013
tt2218003,Closed Circuit,Closed Circuit,2013,96.0,"Crime,Drama,Mystery",6.2,20442,Focus,5800000.0,2013
tt2219514,Fill the Void,Lemale et ha'halal,2012,90.0,"Drama,Romance",6.7,3450,SPC,1800000.0,2013
tt2219650,Seymour: An Introduction,Seymour: An Introduction,2014,84.0,"Biography,Documentary,Music",7.5,921,IFC,744000.0,2015
tt2223990,Draft Day,Draft Day,2014,110.0,"Drama,Sport",6.8,48812,LG/S,28800000.0,2014
tt2224317,Lootera,Lootera,2013,136.0,"Drama,Romance",7.3,13416,Eros,582000.0,2013
tt2226597,The Mountain Between Us,The Mountain Between Us,2017,112.0,"Action,Adventure,Drama",6.4,57033,Fox,30300000.0,2017
tt2229499,Don Jon,Don Jon,2013,90.0,"Comedy,Drama,Romance",6.6,216350,Rela.,24500000.0,2013
tt2229842,Table No. 21,Table No.21,2013,108.0,"Adventure,Thriller",7.1,10185,Eros,46700.0,2013
tt2232578,Canopy,Canopy,2013,84.0,"Adventure,Drama,Thriller",4.9,919,Mont.,8500.0,2014
tt2233624,Kin,Kin,2012,45.0,"Drama,Music",8.6,46,LGF,5700000.0,2018
tt6017942,Kin,Kin,2018,102.0,"Action,Drama,Sci-Fi",5.7,9048,LGF,5700000.0,2018
tt2234003,Calvary,Calvary,2014,102.0,Drama,7.4,52266,FoxS,3600000.0,2014
tt2234155,The Internship,The Internship,2013,119.0,Comedy,6.3,179817,Fox,44700000.0,2013
tt2234261,The Love Punch,The Love Punch,2013,94.0,Comedy,5.7,11848,KE,267000.0,2014
tt2235108,Dear White People,Dear White People,2014,108.0,"Comedy,Drama,Romance",6.1,23321,RAtt.,4400000.0,2014
tt2238050,White Bird in a Blizzard,White Bird in a Blizzard,2014,91.0,"Drama,Mystery,Thriller",6.4,25376,Magn.,33800.0,2014
tt2238839,Love in the Buff,Chun Kiu yi Chi Ming,2012,112.0,"Comedy,Romance",6.9,1507,CL,256000.0,2012
tt2239822,Valerian and the City of a Thousand Planets,Valerian and the City of a Thousand Planets,2017,137.0,"Action,Adventure,Fantasy",6.5,139792,STX,41200000.0,2017
tt2239832,Think Like a Man Too,Think Like a Man Too,2014,106.0,"Comedy,Romance",5.8,18533,SGem,65200000.0,2014
tt2241351,Money Monster,Money Monster,2016,98.0,"Crime,Drama,Thriller",6.5,86607,TriS,41000000.0,2016
tt2243537,A Haunted House,A Haunted House,2013,86.0,"Comedy,Fantasy",5.1,40308,ORF,40000000.0,2013
tt2244901,I Give It a Year,I Give It a Year,2013,97.0,"Comedy,Romance",5.7,34091,Magn.,34700.0,2013
tt2245003,Miss You Already,Miss You Already,2015,112.0,"Comedy,Drama,Romance",6.8,15583,RAtt.,1200000.0,2015
tt2245084,Big Hero 6,Big Hero 6,2014,102.0,"Action,Adventure,Animation",7.8,371204,BV,222500000.0,2014
tt2245171,The Cut,The Cut,2014,138.0,"Adventure,Drama,History",6.3,4769,Strand,28100.0,2015
tt2245970,Wildlife,Kalayaan,2012,115.0,Drama,6.8,12,IFC,1100000.0,2018
tt5929754,Wildlife,Wildlife,2018,105.0,Drama,6.9,14146,IFC,1100000.0,2018
tt2246724,Ghanchakkar,Ghanchakkar,2013,137.0,"Comedy,Crime,Thriller",5.7,4374,UTV,203000.0,2013
tt2247476,When the Game Stands Tall,When the Game Stands Tall,2014,115.0,"Drama,Family,Sport",6.7,14498,TriS,30100000.0,2014
tt2250564,In Bloom,In Bloom,2013,87.0,"Drama,Romance,Thriller",5.8,857,BWP,56100.0,2014
tt2741806,In Bloom,Grzeli nateli dgeebi,2013,102.0,Drama,7.7,6046,BWP,56100.0,2014
tt2250912,Spider-Man: Homecoming,Spider-Man: Homecoming,2017,133.0,"Action,Adventure,Sci-Fi",7.5,426302,Sony,334200000.0,2017
tt2258281,Beyond the Hills,Dupa dealuri,2012,152.0,Drama,7.6,10611,IFC,125000.0,2013
tt2258345,Fading Gigolo,Fading Gigolo,2013,90.0,Comedy,6.2,22473,MNE,3800000.0,2014
tt2259360,Caught in the Web,Sou suo,2012,117.0,Drama,6.5,858,Vita.,1100.0,2013
tt2261287,Leap!,Ballerina,2016,89.0,"Adventure,Animation,Comedy",6.8,16582,Wein.,21900000.0,2017
tt2261331,Black Sea,Black Sea,2014,114.0,"Adventure,Drama,Thriller",6.4,32021,Focus,1200000.0,2015
tt2261434,A Five Star Life,Viaggio sola,2013,85.0,"Drama,Romance",6.3,2203,MBox,307000.0,2014
tt2262161,Sunset Song,Sunset Song,2015,135.0,Drama,6.4,2938,Magn.,160000.0,2016
tt2262282,The Founder,Der Gründer,2012,108.0,"Comedy,Sci-Fi",5.9,33,Wein.,12800000.0,2017
tt4276820,The Founder,The Founder,2016,115.0,"Biography,Drama,History",7.2,97841,Wein.,12800000.0,2017
tt2263058,More Than Honey,More Than Honey,2012,95.0,Documentary,7.6,3740,KL,79800.0,2013
tt2263944,Dragon Ball Z: Battle of Gods,Dragon Ball Z: Doragon bôru Z - Kami to Kami,2013,85.0,"Action,Adventure,Animation",7.2,24180,SV,2600000.0,2014
tt2265171,The Raid 2,Serbuan maut 2: Berandal,2014,150.0,"Action,Crime,Thriller",8.0,104517,SPC,2600000.0,2014
tt2266938,Vulgaria,Dai juk hei kek,2012,93.0,Comedy,6.3,1263,CL,59100.0,2012
tt2267968,Kung Fu Panda 3,Kung Fu Panda 3,2016,95.0,"Action,Adventure,Animation",7.1,116166,Fox,143500000.0,2016
tt2267998,Gone Girl,Gone Girl,2014,149.0,"Drama,Mystery,Thriller",8.1,761592,Fox,167800000.0,2014
tt2268016,Magic Mike XXL,Magic Mike XXL,2015,115.0,"Comedy,Drama,Music",5.6,48497,WB,66000000.0,2015
tt2268732,Museum Hours,Museum Hours,2012,107.0,Drama,6.9,1800,CGld,561000.0,2013
tt2273657,True Story,True Story,2015,99.0,"Crime,Drama,Mystery",6.3,52063,FoxS,4700000.0,2015
tt3114786,True Story,True Story,2015,93.0,Drama,6.6,21,FoxS,4700000.0,2015
tt2275802,Satyagraha,Satyagraha,2013,152.0,Drama,6.0,4559,UTV,739000.0,2013
tt2277308,Friend Request,Friend Request,2013,91.0,Thriller,4.0,116,ENTMP,3800000.0,2017
tt3352390,Friend Request,Friend Request,2016,92.0,"Horror,Thriller",5.3,21704,ENTMP,3800000.0,2017
tt4859526,Friend Request,Friend Request,2015,106.0,Horror,4.9,14,ENTMP,3800000.0,2017
tt2277860,Finding Dory,Finding Dory,2016,97.0,"Adventure,Animation,Comedy",7.3,213542,BV,486300000.0,2016
tt2278388,The Grand Budapest Hotel,The Grand Budapest Hotel,2014,99.0,"Adventure,Comedy,Crime",8.1,633604,FoxS,59300000.0,2014
